Offence Type,Offence Group
"Assault causing harm, poisoning","Attempts or Threats to Murder, Assaults, Harassments & Related offences"
"Attempts/threats to murder, assaults, harassments and related offences","Attempts or Threats to Murder, Assaults, Harassments & Related offences"
Harassment and related offences,"Attempts or Threats to Murder, Assaults, Harassments & Related offences"
Murder-attempt,"Attempts or Threats to Murder, Assaults, Harassments & Related offences"
Other assault,"Attempts or Threats to Murder, Assaults, Harassments & Related offences"
Threat to kill or cause serious harm,"Attempts or Threats to Murder, Assaults, Harassments & Related offences"
Aggravated burglary,Burglary & Related offences
Burglary (not aggravated),Burglary & Related offences
Burglary and related offences,Burglary & Related offences
"Possession of an article (with intent to burgle, steal, demand)",Burglary & Related offences
Controlled drug offences,Controlled Drug Offences
Cultivation or manufacture of drugs,Controlled Drug Offences
Importation of drugs,Controlled Drug Offences
Other drug offences,Controlled Drug Offences
Possession of drugs for personal use,Controlled Drug Offences
Possession of drugs for sale or supply,Controlled Drug Offences
Arson,Damage to Property & to the Environment
Criminal damage (not arson),Damage to Property & to the Environment
Damage to property and to the environment,Damage to Property & to the Environment
Litter offences,Damage to Property & to the Environment
"Abandoning a child, child neglect and cruelty",Dangerous or Negligent Acts
Dangerous driving causing serious bodily harm,Dangerous or Negligent Acts
Dangerous or negligent acts,Dangerous or Negligent Acts
Driving/in charge of a vehicle under the influence of drugs,Dangerous or Negligent Acts
Driving/in charge of a vehicle while over legal alcohol limit,Dangerous or Negligent Acts
Endangering traffic offences,Dangerous or Negligent Acts
Endangerment with potential for serious harm/death,Dangerous or Negligent Acts
False alarm/interference with aircraft or air transport facilities,Dangerous or Negligent Acts
Unseaworthy/dangerous use of boat or ship,Dangerous or Negligent Acts
"Fraud, deception and related offences","Fraud, Deception & Related Offences"
Dangerous driving leading to death,Homicide offences
Homicide offences,Homicide offences
Infanticide,Homicide offences
Manslaughter,Homicide offences
Murder,Homicide offences
Abduction of person under 16 years of age,Kidnapping & Related offences
False imprisonment,Kidnapping & Related offences
Human trafficking offences,Kidnapping & Related offences
Kidnapping and related offences,Kidnapping & Related offences
Offences against government and its agents,"Offences against Government, Justice Procedures & Organisation of Crime"
"Offences against government, justice procedures and organisation of crime","Offences against Government, Justice Procedures & Organisation of Crime"
"Offences while in custody, breach of court orders","Offences against Government, Justice Procedures & Organisation of Crime"
Organisation of crime and conspiracy to commit crime,"Offences against Government, Justice Procedures & Organisation of Crime"
Perverting the course of justice,"Offences against Government, Justice Procedures & Organisation of Crime"
Disorderly conduct,Public Order & Other Social Code offences
Liquor licensing offences,Public Order & Other Social Code offences
Prostitution offences,Public Order & Other Social Code offences
Public order and other social code offences,Public Order & Other Social Code offences
"Regulated betting/money, collection/trading offences",Public Order & Other Social Code offences
Social code offences (n.e.c.),Public Order & Other Social Code offences
Trespass offences,Public Order & Other Social Code offences
Blackmail or extortion,"Robbery, Extortion & Hijacking offences"
"Carjacking, hijacking/unlawful seizure of aircraft/vessel","Robbery, Extortion & Hijacking offences"
Robbery from the person,"Robbery, Extortion & Hijacking offences"
Robbery of an establishment or institution,"Robbery, Extortion & Hijacking offences"
Robbery of cash or goods in transit,"Robbery, Extortion & Hijacking offences"
"Robbery, extortion and hijacking offences","Robbery, Extortion & Hijacking offences"
Other sexual offences,Sexual offences
Rape and sexual assault,Sexual offences
Sexual offences,Sexual offences
"Other thefts, handling stolen property",Theft & Related offences
Theft and related offences,Theft & Related offences
Theft from person,Theft & Related offences
Theft from shop,Theft & Related offences
Theft/taking of vehicle and related offences,Theft & Related offences
Discharging a firearm,Weapons & Explosives Offences
"Explosives, chemical weapons offences",Weapons & Explosives Offences
Fireworks offences,Weapons & Explosives Offences
Offensive weapons offences (n.e.c.),Weapons & Explosives Offences
Possession of a firearm,Weapons & Explosives Offences
Weapons and Explosives Offences,Weapons & Explosives Offences
